text,intent
do you know how to say where is the restroom in french,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how would i say pleased to meet you if i were japanese,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
can you translate hello into swedish for me,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
can you translate i love you into french for me,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
can you translate where's the bar into irish for me,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how would i say goodbye if i were norwegian,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how would i say i love you if i were french,"A general query about the capabilities of the assistant, seeking a list of categories or examples of questions they can ask."
how would i say hello if i were swedish,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
can you translate good bye into russian for me,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
can you translate i have to go pee into korean for me,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how would i say i'm not guilty if i were mexican,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how do you say thank you in spanish,"A query about the type of power sockets or plugs used in a specific region, such as the US."
how does one say thank you in spanish,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how can i say thank you in spanish,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
what is thank you in spanish,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
what is the way to say thank you in spanish,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
"how do they say ""who is your father"" in german","The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
"how do they say ""where's the bathroom"" in spanish","The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
"how do they say ""how's it going"" in swahili","The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
"how do they say ""i love you"" in japanese","The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
"how do they say ""what's up"" in chinese","The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how do you say thank you in german,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how do you say please in arabic,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how do you say cat in spanish,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how do you say i'm hungry in french,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how do you say i need coffee in dutch,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how do they say yes in brazil,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
can you translate cat into russian for me,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
can you translate bowl into russian for me,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how do they say hello in france,"The user is asking for the due date of a specific bill, such as their energy bill."
i wanna know a phrase in spanish,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
can you translate bat into russian for me,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how do they say no in germany,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
can you translate hi into spanish for me,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
i wanna learn a phrase in russian,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how do they say hello in germany,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
can you translate milk into spanish for me,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
how do they say hello in brazil,"The user is requesting a translation of a word, phrase, or sentence from one language to another. They might want to understand how something is said in a specific language or learn a new linguistic expression."
i need $20000 transferred from my savings to my checking,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
complete a transaction from savings to checking of $20000,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer $20000 from my savings account to checking account,"The user wants to know the fuel efficiency (miles per gallon) of their vehicle, particularly for city driving."
take $20000 from savings and put it in checking,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
put $20000 into my checking account from my savings account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send 100 dollars between bank of the west and bank of america acccounts,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send 50 dollars between bank of america and chase accounts,"A request to order more checks, as the user has run out."
send 2000 dollars between chase and rabobank accounts,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send 1200 dollars between usaa and navy federal accounts,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send 400 dollars between city bank and usaa accounts,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
take $40 and transfer it to account a from b,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer $40 from account a to b,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
move $40 from account b to account a,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
put $40 from account a to b,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
take $40 from account a and transfer it to account b,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i need to transfer from this account to that one,A request for instructions on how to change or increase the credit limit on their account.
need to transfer from one account to my other one,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i would like to transfer from one account to my second one,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i need to transfer from one account to my second one,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i have to transfer from one account to my other one,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send fifty dollars from me to carrie,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer sixty dollars to dad from my biggest accnt,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send over a hundred dollars from huntington into saving,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
move 57 dollars from saving into mom,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer two hundred dollars between my portfolio and my money market account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i need to transfer ten dollars from my bank of america account to my capital one account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
go ahead and send ten dollars from bank of america to capital one,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i must transfer ten dollars from my bank of america account to my capital one account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i got to transfer ten dollars from my bank of america account to my capital one account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i want you to send ten dollars from bank of america to capital one,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i need you to send ten dollars from bank of america to capital one,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i have to transfer ten dollars from my bank of america account to my capital one account,"The user is asking if an alternative ingredient (e.g., chips instead of fries) can be used in a recipe or meal."
send ten dollars from bank of america to capital one,"A request to spell out a specific word, such as ""dessert."""
please send ten dollars from bank of america to capital one,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
make a transfer of $200 from my savings account to my checking account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
please transfer $250 from checking to savings,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer $500 from my checking to my savings,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
please transfer $100 from my checking to my savings account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer $500 from my money market savings account to my checking account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send money from one account to another,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer 200 dollars from paypal to savings,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer $10 from checking to savings,"The user wants the assistant to adjust its speaking speed, typically to speak more slowly."
send $100 from paypal to my bank,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
please transfer 100 dollars between my amazon payments and savings accounts,"The user is asking if an alternative ingredient (e.g., chips instead of fries) can be used in a recipe or meal."
i would like to make a transfer,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i want to transfer funds between accounts,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send over 50 dollars between my shared and not shared accounts,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
whats the quickest way to money from one account to another,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
what is the process to move money from one account to another,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i need you to send 500 dollars from my high tier account to my regular checking account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
can you transfer money from a to b,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send my money between accounts,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
how can i send money from one account to another,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i need to move money from one account to another,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send $20 from debit to steve's account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send 20 dollars from savings to checking,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
please transfer my funds,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
please transfer $50 to my checking account from credit,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
go ahead and move $200 from amazon to my bank account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
help me move my money,The user is inquiring whether their credit card charges fees for international transactions.
i need my money to be moved,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
help me move my money please,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i need to move my money,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
move my money please,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i would like to transfer $5 from savings to checking,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer $5 from savings to checking,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
can you transfer $5 from savings to checking,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send $5 from savings to checking,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
please transfer $5 from savings to checking,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
please switch $s checking to mortage,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
please transfer $s from saving to checking,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
could you transfer $x from saving to checking,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
help me transfer $x from credit to debit,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
please transfer $x from checking to saving,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer money to another account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
requesting money transfer between accounts,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer money from this account to that account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
can you transfer money from my account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
money transfer request,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send 100 dollars from checking to savings,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer 100 dollars checking to savings,The user is inquiring about the assistant’s creator or employer.
transfer 100 dollars between checking and savings,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
take 100 dollars from checking and send it to savings,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
move 100 dollars from checking to savings,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
can we wire some money over to the other account i have,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
time to move some cash from one account to another,A casual greeting or expression of interest in how the assistant is doing.
i need to throw some money into that other account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
let's send some money to another account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i want to initiate a transfer from one account to the other,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer money from one place to another,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
move money from one account to another,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer between two accounts,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
make a transfer between accounts,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
send money to another account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i need ten dollars sent from b of a to washington mutual,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
transfer fifty dollars between my chase and bank of america account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
deposit ten bucks from my chase account to my ally account,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
put a hundred dollars in my ally account from bluebird,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
i want seventy bucks transferred from b of a to chase,"This label indicates a user request to move money between two bank accounts, which may include specifying the amount, the source account, and the destination account."
