,query,initial label,predicted label
860,i need a pto request for march 3rd and 4th,whisper_mode,pto_request
864,i would like to make a pto request for july 17th and 18th,order_status,pto_request
876,"could you submit a pto request for me from dates mar 3 to 9, please",transfer,pto_request
887,can you put in a pto request for me from march 1-7,insurance_change,pto_request
896,can i request pto from march 9-16,distance,pto_request
932,are there ways for me to make my credit score better,directions,improve_credit_score
936,what are some tips to build my credit score,accept_reservations,improve_credit_score
938,show me some ways to build my credit score,where_are_you_from,improve_credit_score
939,what are the best ways to build my credit score,restaurant_reservation,improve_credit_score
944,i want to find out if this will hurt my credit,change_user_name,improve_credit_score
960,are there any new harmful things that could affect my credit score,todo_list_update,improve_credit_score
961,how can i make my credit score better,pto_request_status,improve_credit_score
976,does carrying a balance hurt my credit score,order_checks,improve_credit_score
991,what lowers credit score,flip_coin,improve_credit_score
1004,any unique trivia about beats headphones,maybe,fun_fact
1007,tell me something interesting about sperm whales,calendar,fun_fact
1013,read me some fun facts,mpg,fun_fact
1019,can you tell me a fun fact regarding cars,improve_credit_score,fun_fact
1031,what is a fun fact about mt everest,w2,fun_fact
1033,do you know any fun facts about mt everest,change_volume,fun_fact
1036,what are fun facts about lighthouses,mpg,fun_fact
1047,i want to learn a neat fact about black holes,order_checks,fun_fact
1061,what's a good trivia fact about china,flight_status,fun_fact
1102,"i would like to have language set to spanish, please",ingredients_list,change_language
1103,please give me your responses only in french from now on,international_fees,change_language
1120,i want to switch speaking to french,restaurant_reservation,change_language
1124,can you translate that to french,change_language,translate
1129,can we talk in french,shopping_list,change_language
1143,can you talk to me in chinese,food_last,change_language
1150,let's go ahead and switch your language,rollover_401k,change_language
1152,is it possible to only talk in spanish,calendar,change_language
1170,start talking in spanish,roll_dice,change_language
1181,i want to put you in a different language,calculator,change_language
1189,i want your language changed to chinese,update_playlist,change_language
1228,is my paycheck arriving soon,current_location,payday
1230,did i receive my paycheck this week,international_fees,payday
1234,how much longer until i have a direct deposit,payday,direct_deposit
1238,when will i recieve my next paycheck,insurance,payday
1240,can you tell me when i'm supposed to get paid,international_visa,payday
1241,tell me when i get paid,report_fraud,payday
1243,when will i recieve another paycheck,schedule_maintenance,payday
1261,when will i get paid next,find_phone,payday
1264,when should i expect my next paycheck,definition,payday
1267,when is my next direct deposit from my job,payday,direct_deposit
1268,when is payday,gas_type,payday
1284,i wanna know when i was paid last,travel_suggestion,payday
1285,when was my last payment,payday,freeze_account
1298,tell me about today weather,replacement_card_duration,weather
1304,how soon until you send me replacement card,definition,replacement_card_duration
1316,how long does it take to replace a stolen credit card,vaccines,replacement_card_duration
1327,my new card arrives in the post when,replacement_card_duration,order_status
1329,my new card will get here in the mail when,replacement_card_duration,new_card
1331,when can i expect my new card to get here,play_music,replacement_card_duration
1333,when will my new visa get here,carry_on,international_visa
1343,how long will a new card take to reach me,replacement_card_duration,new_card
1350,a new cards takes how long to mail to me,restaurant_reviews,replacement_card_duration
1363,how long should i expect to wait for my new card in the mail,replacement_card_duration,new_card
1368,what's the typical time it takes for a new card to arrive,replacement_card_duration,new_card
1373,what's the average time it takes for a new card to arrive,replacement_card_duration,new_card
1379,how soon will you mail me a new card,international_fees,replacement_card_duration
1387,is my replacement card coming soon,reset_settings,replacement_card_duration
1388,when will my card replacement arrive,text,replacement_card_duration
1390,when should i expect my replacement card,transfer,replacement_card_duration
1394,what date will my replacement card get mailed,find_phone,replacement_card_duration
1399,"what time is it in glenwood springs, co",order_checks,time
1420,what time do you have on your watch,tell_joke,time
1433,what is the time right now in the peruvian time zone,payday,time
1434,what is the exact time,text,time
1446,what time is it on the pacific coast right now,change_accent,time
1447,"given my time, what time is it in mst",expiration_date,time
1453,what time is it in the pacific standard timezone,yes,time
1466,what time is it in buenos aires,meeting_schedule,time
1478,i need to know the time,calories,time
1492,what time is it in paris,change_volume,time
1499,has the discover card approved my app,apr,application_status
1503,have my app for a new card been processed yet,pin_change,application_status
1504,has the application i put in for a new visa been processed,application_status,international_visa
1516,do you know the status of the credit card application i filed,change_volume,application_status
1517,has the application for my visa been processed,application_status,international_visa
1523,where can i go to see if my credit card application has been processed,routing,application_status
1525,what is the status of my credit card application,international_fees,application_status
1558,i need to know if the application been processed,restaurant_reviews,application_status
1571,how long to process my credit card application,rollover_401k,application_status
1586,did they process the credit card i applied for,do_you_have_pets,application_status
1593,i'm desperate to know about my cc processing,application_status,card_declined
1596,has my credit card application been approved,traffic,application_status
1597,when will my cc application process,traffic,application_status
1615,whats the status of my united flight,calculator,flight_status
1620,is flight dl123 on time,traffic,flight_status
1625,at what time will my flight land,change_ai_name,flight_status
1642,when is my flight due to arrive,translate,flight_status
1659,can you tell me where flight dl123 is,update_playlist,flight_status
1668,any idea where flight dl123 is right now,income,flight_status
1669,what's my flight's eta,transfer,flight_status
1674,i would love to know when my flight is going to land,directions,flight_status
1689,what time will i be able to board the plane,todo_list,flight_status
1690,when will i get to my destination,flight_status,distance
1694,can you tell me when my flight is going to board,w2,flight_status
1714,flip a coin heads or tails,change_speed,flip_coin
1721,i'd like you to throw a virtual coin for me,goodbye,flip_coin
1724,i want a coin flip and i'll take tails,international_visa,flip_coin
1726,do a virtual coin flip and tell me if i win as tails,min_payment,flip_coin
1727,randomly pick between heads or tails and tell me if tails wins,todo_list,flip_coin
1728,toss a coin and tell me what it lands on,freeze_account,flip_coin
1730,flip a fair coin i win if it's tails,cook_time,flip_coin
1781,coin flip,expiration_date,flip_coin
1795,do a coin toss,distance,flip_coin
1802,i go by brad,pto_request,change_user_name
1834,you can call me cindy,payday,change_user_name
1843,please call me johnny,confirm_reservation,change_user_name
1853,you can call me steve,how_old_are_you,change_user_name
1857,would you call me mary,calendar_update,change_user_name
1863,call me frank,goodbye,change_user_name
1864,you can refer to me as frank,direct_deposit,change_user_name
1869,"hi, i'm john",change_user_name,greeting
1901,tell me where you're made,where_are_you_from,who_made_you
1902,tell me how you're made,where_are_you_from,who_made_you
1915,can you tell me where you are from,tell_joke,where_are_you_from
1917,can you tell me where you were created,where_are_you_from,who_made_you
1919,would you care to let me know where you were made,where_are_you_from,who_made_you
1922,what country were you made,where_are_you_from,who_made_you
1924,where did they make you,where_are_you_from,who_made_you
1926,what place were you created in,where_are_you_from,who_made_you
1927,in which place were you made,where_are_you_from,who_made_you
1958,where is your original location,car_rental,where_are_you_from
1966,can you tell me your place of origin,rollover_401k,where_are_you_from
1977,"if you were to call a place your beginning, your home start, where would that be",where_are_you_from,meaning_of_life
1991,where's home for you,restaurant_reservation,where_are_you_from
1996,delete fries from shopping list,no,shopping_list_update
2015,"do i have pepper my shopping list, if not add it",interest_rate,shopping_list_update
2023,put bread on my shopping list,shopping_list_update,shopping_list
2025,remind me to buy bread next time i go shopping,shopping_list_update,reminder_update
2026,will you include kleenex on my list for shopping please,shopping_list_update,shopping_list
2028,put film on my shopping list,shopping_list_update,shopping_list
2030,write apples on my shopping list,shopping_list_update,shopping_list
2032,add mountain dew to my list for shopping,shopping_list_update,shopping_list
2033,add coke to my shopping cart,shopping_list_update,shopping_list
2035,add pepsi to my shopping bag,calories,shopping_list_update
2041,add groceries to my shopping list as i am out,shopping_list_update,shopping_list
2045,i am out of trash bags and need them to be added to my shopping list,shopping_list_update,shopping_list
2048,i want you to add milk on my shopping list unless it is already on it,order,shopping_list_update
2052,please put silverware on my list for shopping,shopping_list_update,shopping_list
2054,maybe we can put blank cds on my list for shopping,shopping_list_update,shopping_list
2055,can we put sunscreen on my list for shopping,shopping_list_update,shopping_list
2057,x on the shopping list please,pin_change,shopping_list_update
2059,i would like to put carrots on my list for shopping,shopping_list_update,shopping_list
2061,put on my shopping list i need carots,damaged_card,shopping_list_update
2065,i need oranges on my shopping list,shopping_list_update,shopping_list
2067,my shopping list should have carrots on it,change_accent,shopping_list_update
2069,can you put oranges on my shopping list,shopping_list_update,shopping_list
2070,put carrots on my shopping list,shopping_list_update,shopping_list
2071,put soda on the shopping list and add carrots,shopping_list_update,shopping_list
2074,please make sure oranges are on my shopping list,shopping_list_update,shopping_list
2078,take fresh carrots off my shopping list,yes,shopping_list_update
2082,put milk on my shopping list cause i'm out of it,shopping_list_update,shopping_list
2083,put spaghetti on my shopping list cause i'm out of it please,shopping_list_update,shopping_list
2084,put rice and pudding on my shopping list cause i need them,change_accent,shopping_list
2086,i need to add cherrios to the grocery list,vaccines,shopping_list_update
2088,i ran out of cherrios so add that to the list,shopping_list_update,shopping_list
2093,i need you to add creamer to my shopping list,shopping_list_update,shopping_list
2094,please put milk on my list i just used the last of it,shopping_list_update,shopping_list
2095,"i no longer need milk, so forget that",shopping_list_update,no
2098,what exactly can you help me with,card_declined,what_can_i_ask_you
2103,what sorts of subjects are you well versed in,make_call,fun_fact
2106,tell me the types of things i can ask you about,pto_request,what_can_i_ask_you
2110,what sorts of subjects do you know about,what_can_i_ask_you,fun_fact
2122,what questions are permissible,goodbye,what_can_i_ask_you
2128,can you help me with anything i need,calculator,what_can_i_ask_you
2129,what all can you do,freeze_account,what_can_i_ask_you
2130,what things do you know about,are_you_a_bot,fun_fact
2139,what kind of things can you answer,book_flight,what_can_i_ask_you
2143,what kinds of questions can you respond to,transfer,what_can_i_ask_you
2175,i want to know what sort of things you can assist me with,tire_change,what_can_i_ask_you
2180,i wanna know the types of subjects are you familiar with,what_can_i_ask_you,what_are_your_hobbies
2184,tell me the types of subjects are you familiar with,what_can_i_ask_you,fun_fact
2185,i would like to know the types of subjects are you familiar with,what_can_i_ask_you,what_are_your_hobbies
2187,are you familiar with any types of subjects,what_can_i_ask_you,what_are_your_hobbies
2198,shit if i know,calories,no
2206,not a clue,sync_device,maybe
2213,"maybe, maybe not",change_speed,maybe
2245,i'm not sure,next_song,maybe
2246,i can't decide,maybe,flip_coin
2248,i'll have to think about it,oil_change_how,maybe
2253,that could maybe be it,international_visa,maybe
2254,i have no earthly idea at all,book_hotel,maybe
2274,"well, i guess maybe",roll_dice,maybe
2283,it's possible that it could be either,pin_change,maybe
2290,how is the weather today,maybe,weather
2293,that answer's above my pay scale,maybe,payday
2297,can you find instructions on how to change oil in a car,jump_start,oil_change_how
2317,what do i need to change the oil in my car,order,oil_change_how
2323,i need to know how to change my oil,what_are_your_hobbies,oil_change_how
2339,i want to learn the process of changing oil,order_checks,oil_change_how
2354,what steps do i take to change the oil for my car,order_status,oil_change_how
2357,what actions do i take to change a car's oil,transactions,oil_change_how
2363,how can my oil be changed in my car,direct_deposit,oil_change_how
2366,how can i change my oil for my car,reminder_update,oil_change_how
2376,"can you tell me how to change my car's oil, and what type i need to buy",book_hotel,oil_change_how
2395,walk me through changing the oil on a tesla,redeem_rewards,oil_change_how
2398,"i think we should reserve dad's regular table friday for 6 people, use his name, make that close to 4:00 pm at the club",cancel,restaurant_reservation
2408,can you make a reservation at the restaurant for tonight,restaurant_reviews,restaurant_reservation
2434,is it possible to get a table for 4 at the village inn around 10am,calendar_update,restaurant_reservation
2441,i want to reserve a table at 8 at long john silver's under the name freddie,cancel,restaurant_reservation
2453,you have to reserve a table for 4 at red robin under the name kevin at 7,pto_used,restaurant_reservation
2454,please reserve a table for 4 at red robin under the name kevin at 7,accept_reservations,restaurant_reservation
2463,book a reservation for 8 pm at red robin under the name kevin,fun_fact,restaurant_reservation
2472,please reserve a table for two at rouge for 7:00 pm,last_maintenance,restaurant_reservation
2476,i need you to reserve at table for a party of four at devon's for 6:00 pm,report_lost_card,restaurant_reservation
2493,reserve a table for 2 at red lobster at 8:00,measurement_conversion,restaurant_reservation
2496,savings account balance at chase bank please,where_are_you_from,balance
2511,what amount of money is in my bank accounts,gas,balance
2515,how much funds do i have in my bank accounts,travel_suggestion,balance
2534,tell me what i have in my money market account,meal_suggestion,balance
2536,how much is left of mastercard,balance,rewards_balance
2539,do i have enough money in my chase account for a new refrigerator,todo_list_update,balance
2553,do i have enough in my boa account for a new pair of skis,insurance_change,balance
2564,i want to view my balance,whisper_mode,balance
2574,i need to know my bank balance,shopping_list_update,balance
2581,what is status of my bank account,balance,application_status
2588,is there enough money in my bank of hawaii for vacation,flight_status,balance
2601,"confirm a reservation for nicole brown at diangelo's at 6:45 pm, please",food_last,confirm_reservation
2614,can you assure me i have a table at taco bell at 7pm,confirm_reservation,restaurant_reservation
2624,do i have reservations at creme at 7 pm,meaning_of_life,confirm_reservation
2631,i must confirm my reservation for 2/20 at 8 pm,mpg,confirm_reservation
2632,i really want to confirm that i have a reservation at red robin for josh,oil_change_how,confirm_reservation
2646,will you make sure robert has a reservation at ruth's steakhouse,confirm_reservation,restaurant_reservation
2648,can you check that there's a reservation for mark at sidetracks,repeat,confirm_reservation
2652,can you confirm i have a reservation at 5 pm on march 13th,cancel_reservation,confirm_reservation
2660,check to confirm my reservation for february 22 at noon,expiration_date,confirm_reservation
2678,can you verify my reservation under steve for friendly's,calories,confirm_reservation
2681,please confirm my reservation for april 1st at 9am,who_made_you,confirm_reservation
2693,does taco house have a reservation for jean,text,restaurant_reservation
2696,i want my chase account blocked immediately,freeze_account,account_blocked
2717,could you put a stop on my bank account,book_flight,freeze_account
2730,i would like my account frozen,nutrition_info,freeze_account
2736,shut down my account,freeze_account,account_blocked
2738,turn off my account,replacement_card_duration,freeze_account
2741,terminate the account,schedule_meeting,cancel
2742,i am going to need a block put on my chase account right away,freeze_account,account_blocked
2744,i would like a block put on my chase account asap,tire_change,account_blocked
2746,i need a block put on my chase account right away,freeze_account,account_blocked
2751,i want you to immediatly block any further activity on my bb&t bank account,whisper_mode,account_blocked
2752,block my citibank account right away,freeze_account,account_blocked
2753,add a block to my capital one bank account so it cannot be used any more,freeze_account,account_blocked
2754,please immediatly block my presidential bank account right now,freeze_account,account_blocked
2767,block my chase account asap,freeze_account,account_blocked
2773,stop payments from my bank,date,freeze_account
2782,please ask the bank to freeze my account,gas,freeze_account
2785,put a hold on my chase account right away please,recipe,freeze_account
2798,what are the ways i can transfer my 401k,rollover_401k,transfer
2805,i need to know if it is possible to rollover my 401k,international_visa,rollover_401k
2806,i nee to know how to transfer my 401k,rollover_401k,transfer
2809,can you instruct me on how to rollover my 401k,update_playlist,rollover_401k
2816,i have a new job now and need help with rolling over my 401k,new_card,rollover_401k
2826,i jot got hired and need help with my retirement account,transfer,rollover_401k
2828,what are the steps for transfering my 401k,rollover_401k,transfer
2829,walk me through on how to roll over my 401k,book_hotel,rollover_401k
2831,could you walk me through transfering my 401k,rollover_401k,transfer
2833,help me transfer my 401k,rollover_401k,transfer
2834,i need your assistance on transfering my 401k,rollover_401k,transfer
2836,i need help to roll over my 401k,update_playlist,rollover_401k
2844,help me to roll over my 401k,change_ai_name,rollover_401k
2861,what do i do to rollover my 401k,order_checks,rollover_401k
2875,tell me how to transfer my 401k,rollover_401k,transfer
2877,transfer my 401k please,rollover_401k,transfer
2878,i need to transfer my 401 k,rollover_401k,transfer
2891,"i need to get some assistance figuring out how i can rollover my 401k, please",alarm,rollover_401k
2901,what company owns your code,who_made_you,who_do_you_work_for
2905,who was the inventor of ai,account_blocked,who_made_you
2918,i need to know who programmed you,what_song,who_made_you
2924,who was your creator,food_last,who_made_you
2934,who designed you,weather,who_made_you
2940,to which company is your design accredited to,who_made_you,who_do_you_work_for
2942,what organization created you,carry_on,who_made_you
2951,you were built by who,are_you_a_bot,who_made_you
2956,tell me the company that produces you and similar machines,who_made_you,who_do_you_work_for
2957,may i know who made you,credit_limit,who_made_you
2969,how were you made,yes,who_made_you
2983,ai who made you,credit_limit_change,who_made_you
2985,can you tell me who created you,credit_score,who_made_you
2997,how early should i leave to the airport in la,distance,travel_notification
2999,is the ride short to the airport in la,flight_status,distance
3010,"if i take the bus, how long will it take to get to dubrovnik",distance,directions
3013,how long will it take the bus to get to stop 23,bill_balance,distance
3019,give me the time left before i get to the hotel,distance,time
3022,how many miles until i get to the beach,play_music,distance
3027,where is the closest gas station,change_speed,gas
3035,will it be long to get to the sky harbor airport,book_flight,distance
3037,how long does it take until i reach the sky harbor airport,pin_change,distance
3047,"if i take this bus, how long until i get to brooklyn",distance,directions
3055,i need a time update on the applebees trip,distance,time
3065,how long is it gonna take to get to red robin in avondale,min_payment,distance
3068,what is the time frame to get to phoenix,distance,time
3073,how long does it take to get to orlando by bus,cook_time,distance
3086,what is the time that it will take to arrive at detroit,distance,time
3087,how much time will pass between the start and end of our sojourn by bus to detroit,distance,time
3088,what amount of time will pass in order for a person at our location to take bus to detroit,distance,time
3089,how long will it take to reach my doctors office,schedule_meeting,distance
3093,time taken from home to doctors office,mpg,distance
3097,what name do you use when addressing me,user_name,what_is_your_name
3100,what is the name you call me saved as,user_name,what_is_your_name
3101,"regarding my name, whats it saved as",user_name,change_user_name
3109,by what name people call me,user_name,what_is_your_name
3114,what can you call me,user_name,change_user_name
3115,what would you like to call me,user_name,change_user_name
3116,what would i be referred to as,user_name,change_user_name
3117,what would you like to refer to me as,user_name,change_user_name
3118,what do you think you will refer to me as,min_payment,change_user_name
3119,what will you call me,user_name,change_user_name
3120,what will you refer to me as,user_name,change_user_name
3121,what are you going to refer to me as,user_name,change_user_name
3124,you wrote what for my name,user_name,change_user_name
3125,what did ya save my name as,user_name,change_user_name
3131,call me by my name,user_name,change_user_name
3139,what name do you use to talk about me,user_name,change_user_name
3146,can you tell me what my name is,damaged_card,user_name
3147,what is the name you associate with me,rewards_balance,what_is_your_name
3148,what name do you have listed for me,jump_start,user_name
3149,what is the name you have listed for my identity,user_name,what_is_your_name
3152,how do you address me,user_name,change_user_name
3154,what am i known as to you,repeat,what_is_your_name
3158,what do you have my name saved under,user_name,change_user_name
3162,"what is the name that you have for me, please",user_name,what_is_your_name
3163,what is the name that you have for me,user_name,what_is_your_name
3164,what name do you call me by,user_name,what_is_your_name
3166,what do you have me saved under,pto_request,pto_balance
3167,"what's the name that you have for me, please",user_name,what_is_your_name
3169,what name do you refer to me as,user_name,what_is_your_name
3175,what is your name for me,ingredient_substitution,what_is_your_name
3188,you have what name for me,freeze_account,what_is_your_name
3189,so what is my name saved as,last_maintenance,user_name
3192,let me know the name you have for me,gas_type,what_is_your_name
3193,so what name do you have for me,user_name,what_is_your_name
3195,timezone of cuba,credit_limit_change,timezone
3196,what is the time zone of france,calendar,timezone
3201,italy's timezone is what,are_you_a_bot,timezone
3215,what timezone is canada in,calculator,timezone
3236,what timezone is lima in,reset_settings,timezone
3242,whats the timezone for modesto,routing,timezone
3246,tell me what time zone portugal uses,change_language,timezone
3267,could you tell me what timezone reno is in,reminder,timezone
3276,can you tell me the timezone that hartford is in,reminder,timezone
3294,what timezone is boston in,weather,timezone
3313,lets pause this song and move onto the next,tire_change,next_song
3321,skip over this song,expiration_date,next_song
3323,play the song coming on next,goodbye,next_song
3336,i want to hear the next song,greeting,next_song
3339,what's next on the list,next_song,shopping_list_update
3341,"next song on the list, please",interest_rate,next_song
3353,i need you to skip this song and play the next one,bill_due,next_song
3355,skip to the next song,cancel,next_song
3376,advance to the next song,calculator,next_song
3380,play the song after this,oil_change_how,next_song
3390,play next on the playlist,direct_deposit,next_song
3402,"before i pay my capital one, what are the most recent transactions i've made",change_user_name,transactions
3407,show me the transactions from costco yesterday,shopping_list,transactions
3413,what was the last thing i purchased,pto_balance,transactions
3414,what did i buy last,whisper_mode,spending_history
3426,i would like to hear all transactions made on my amex for the last ten days,international_fees,transactions
3431,show me my transactions on mcdonalds,transactions,restaurant_reviews
3436,list me my recent transaction,oil_change_how,transactions
3456,show me the last month of transactions,transactions,spending_history
3462,show me transactions related to travel,transactions,travel_notification
3470,can you show me transactions related to utilities,meaning_of_life,spending_history
3471,pull up my grocery transactions,transactions,shopping_list
3473,i spent what dollar amount last month on mastercard,cancel,spending_history
3474,what was the amount that i spent on fidelity visa last month,transactions,spending_history
3476,what amount did i spend for food on chase visa on current bill,transactions,spending_history
3478,i need to know the transactions i made on the 10th,order_status,transactions
3484,show me the transaction on mcdonald,transactions,restaurant_reviews
3500,what restaurants are pet friendly near here,restaurant_suggestion,do_you_have_pets
3508,give me some good restaurants,credit_limit,restaurant_suggestion
3514,i am hungry and need a restaurant suggestion,recipe,restaurant_suggestion
3515,can you tell me the best place for cajun shrimp in tampa,restaurant_reviews,restaurant_suggestion
3519,what's a good place to go to for food around here,apr,restaurant_suggestion
3526,please list nearby restaurants with 4 or more star reviews,restaurant_suggestion,restaurant_reviews
3528,where would you eat italian in chicago,ingredient_substitution,restaurant_suggestion
3537,i want you to recommend a good local restaurant to me,reminder,restaurant_suggestion
3540,please find me some good thai restaurants in new york city,what_song,restaurant_suggestion
3549,what mexican restaurant within 5 miles has the best reviews,restaurant_suggestion,restaurant_reviews
3560,where are some good thai restaurants in las vegas,alarm,restaurant_suggestion
3561,tell me which restaurants are good for thai food in las vegas,change_language,restaurant_suggestion
3593,suggest some restaurants,rewards_balance,restaurant_suggestion
3598,what's my current reward balance on my amex card,vaccines,rewards_balance
3600,how many reward points have stacked up for my amex card,update_playlist,rewards_balance
3621,what is the easiest way to check my bank rewards card,where_are_you_from,rewards_balance
3623,how many points are on my gold card,international_fees,rewards_balance
3626,have i earned a lot of points on my capital one card,find_phone,rewards_balance
3632,how many points did i get on my discover card,weather,rewards_balance
3634,what points were earned on my mastercard,new_card,rewards_balance
3655,how do i see me rewards for my chase card,next_song,rewards_balance
3671,how many delta miles are on my card right now,credit_limit,rewards_balance
3673,how do i find out my rewards balance on my chase card,traffic,rewards_balance
3701,can i pay a bill,user_name,pay_bill
3707,i want to pay my tax bill,pay_bill,taxes
3720,do a car payment from my savings account,pay_bill,transfer
3724,i need to pay my mortgage,order_status,pay_bill
3725,are you able to help me pay my mortgage,freeze_account,pay_bill
3728,will you aid me in paying my insurance premium,pay_bill,insurance_change
3730,use my savings account to the pay the rent,pay_bill,transfer
3741,will you take my bill payment,ingredients_list,pay_bill
3747,pay my gas bill from my saving account,flight_status,pay_bill
3753,schedule a gas bill payment,travel_suggestion,pay_bill
3766,i got to pay my cable bill,damaged_card,pay_bill
3767,i need help paying my store bill,meeting_schedule,pay_bill
3780,i need to pay my cable bill from my checking account,play_music,pay_bill
3792,can you pay the bill now,reset_settings,pay_bill
3798,how much money did i spend at starbucks in the last week,pto_used,spending_history
3799,what was the total i spent at home depot last month,yes,spending_history
3820,what have i spent over the last few days,freeze_account,spending_history
3836,how much have i spent eating out this week,time,spending_history
3841,what did car insurance run me this year,spending_history,insurance
3852,what is the total amount that i have spent on the cash app for this month so far,car_rental,spending_history
3853,have i spent a lot on food recently,share_location,spending_history
3861,how much money have i recently spent on entertainment,what_can_i_ask_you,spending_history
3866,i need to know what i spend on utilities for the last year,find_phone,spending_history
3872,have i been spending a ton of money on movies lately,expiration_date,spending_history
3877,would please let me know how much i spent on food in january,smart_home,spending_history
3885,i have been spending a lot on insurance lately,spending_history,insurance
3904,is my day off approved,directions,pto_request_status
